,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
0,6523,00A,heliport,Total Rf Heliport,40.0708007812,-74.9336013794,11.0,,US,US-PA,Bensalem,no,00A,,00A,,,
1,6524,00AK,small_airport,Lowell Field,59.94919968,-151.695999146,450.0,,US,US-AK,Anchor Point,no,00AK,,00AK,,,
2,6525,00AL,small_airport,Epps Airpark,34.8647994995,-86.7703018188,820.0,,US,US-AL,Harvest,no,00AL,,00AL,,,
3,6526,00AR,heliport,Newport Hospital & Clinic Heliport,35.6086997986,-91.2548980713,237.0,,US,US-AR,Newport,no,00AR,,00AR,,,
4,6527,00AZ,small_airport,Cordes Airport,34.3055992126,-112.165000916,3810.0,,US,US-AZ,Cordes,no,00AZ,,00AZ,,,
5,6528,00CA,small_airport,Goldstone /Gts/ Airport,35.3504981995,-116.888000488,3038.0,,US,US-CA,Barstow,no,00CA,,00CA,,,
6,6529,00CO,small_airport,Cass Field,40.6222000122,-104.34400177,4830.0,,US,US-CO,Briggsdale,no,00CO,,00CO,,,
7,6531,00FA,small_airport,Grass Patch Airport,28.6455001831,-82.21900177,53.0,,US,US-FL,Bushnell,no,00FA,,00FA,,,
8,6532,00FD,heliport,Ringhaver Heliport,28.8465995789,-82.3453979492,25.0,,US,US-FL,Riverview,no,00FD,,00FD,,,
9,6533,00FL,small_airport,River Oak Airport,27.2308998108,-80.9692001343,35.0,,US,US-FL,Okeechobee,no,00FL,,00FL,,,
10,6534,00GA,small_airport,Lt World Airport,33.7675018311,-84.0682983398,700.0,,US,US-GA,Lithonia,no,00GA,,00GA,,,
11,6535,00GE,heliport,Caffrey Heliport,33.8842010498,-84.7339019775,957.0,,US,US-GA,Hiram,no,00GE,,00GE,,,
12,6536,00HI,heliport,Kaupulehu Heliport,19.8325004578,-155.981994629,43.0,,US,US-HI,Kailua/Kona,no,00HI,,00HI,,,
13,6537,00ID,small_airport,Delta Shores Airport,48.1453018188,-116.213996887,2064.0,,US,US-ID,Clark Fork,no,00ID,,00ID,,,
14,6538,00II,heliport,Bailey Generation Station Heliport,41.6445007324,-87.1228027344,600.0,,US,US-IN,Chesterton,no,00II,,00II,,,
15,6539,00IL,small_airport,Hammer Airport,41.9784011841,-89.5604019165,840.0,,US,US-IL,Polo,no,00IL,,00IL,,,
16,6540,00IN,heliport,St Mary Medical Center Heliport,41.5113983154,-87.260597229,634.0,,US,US-IN,Hobart,no,00IN,,00IN,,,
17,6541,00IS,small_airport,Hayenga's Cant Find Farms Airport,40.0256004333,-89.1229019165,820.0,,US,US-IL,Kings,no,00IS,,00IS,,,
18,6542,00KS,small_airport,Hayden Farm Airport,38.7277984619,-94.9304962158,1100.0,,US,US-KS,Gardner,no,00KS,,00KS,,,
19,6543,00KY,small_airport,Robbins Roost Airport,37.4094009399,-84.6196975708,1265.0,,US,US-KY,Stanford,no,00KY,,00KY,,,
20,45437,00LA,heliport,Shell Chemical East Site Heliport,30.191944,-90.980833,15.0,,US,US-LA,Gonzales,no,00LA,,00LA,,,
21,6544,00LL,heliport,Ac & R Components Heliport,39.6652984619,-89.7055969238,600.0,,US,US-IL,Chatham,no,00LL,,00LL,,,
22,6545,00LS,small_airport,Lejeune Airport,30.1362991333,-92.429397583,12.0,,US,US-LA,Esterwood,no,00LS,,00LS,,,
